State/UT,District,Percent total literate Population (Age 7 +) ,Percent literate Male Population (Age 7+) ,Percent literate Female Population (Age 7+) ,Percent girls (age 6-11) attending Schools,Percent boys (age 6-11) attending Schools,Have Electricity connection (%),Have Access to toilet facility (%),Use piped drinking water (%),Use LPG for cooking (%),Live in a pucca house (%),Own a house (%),Have a BPL card (%),Own Agriculture Land (%),Have a television (%),Have a mobile phone (%),Have a Motorized Vehicle (%)
Himachal Pradesh,Kinaur,80.4,88.6,71.4,100,100,97.5,59.7,88.6,44.3,32.1,99.3,40,78.4,68.1,56.1,3.6
Himachal Pradesh,Kullu,80.6,90.1,69.6,98.6,100,98.9,53.8,93.4,29.1,34.7,98.6,22.2,76.6,75.4,56.9,9.7
Himachal Pradesh,Lahul spith,76.4,86.7,64.7,100,99.5,98.4,67,63.5,38.7,34.9,98.1,31.5,69.5,68.5,49.6,7.8
Himachal Pradesh,Mandi,79.1,88.6,69.3,100,99.7,97.5,74.8,89.4,15.9,44.7,98.8,23.9,82.4,65.4,47.5,7.4
Himachal Pradesh,Shimla,82.3,90,74.3,100,100,96.2,57.4,84.6,40.5,36,98.8,31.7,72,65.2,63.5,12.1
Himachal Pradesh,Sirmaur,78.8,87,69.6,100,99.5,97.3,55.1,80.7,23.2,57.6,98.1,30.2,76.1,66.3,53.8,14.3
Himachal Pradesh,Solan,83,90.7,74.7,98.8,99.6,96.8,58.1,75.7,33.7,62,97.7,29.4,62.7,75,59.5,20.8
Himachal Pradesh,Una,87.9,94,81.4,100,100,99.7,46.9,67.3,18.1,54.1,99.5,38.8,83,83.4,58.4,18.6
J & K,Anantnag,67.1,78.8,54.7,99.4,99.8,91,68.7,66.4,19.3,66.9,99,43.7,80.9,54.7,56.6,7.3
J & K,Badgam,59.3,72.3,45.5,99.6,98.9,93,96.6,69.8,27.7,65.1,98,41.7,81,62.1,52.1,8.7
J & K,Baramula,65.5,78.1,52.2,99.4,99.8,93.7,94,67.6,25.6,32.2,99.1,50.2,80.8,56.9,56.9,9.3
J & K,Doda,67.1,81.1,51.1,99.5,100,78,18.6,61.5,11.2,14.3,98.6,52,91,31,38.7,3.1
J & K,Jammu,81.5,89,73.2,99.1,99.3,99.8,39,39.6,46,65.3,99.6,14.3,56.8,84.1,61.8,35.5
J & K,Kargil,70.4,81.5,58.7,99.5,100,88.6,96.6,44.2,20.3,22.1,99,51.1,88.1,38.7,31.1,8.7
J & K,Kathua,80.7,87.6,72.6,99.1,99.4,99.4,24.1,51,28,53.8,99.1,13.1,68.5,77.2,59.6,28.9
J & K,Kupwara,67.2,79.7,54.3,98.8,99.2,92.3,93.6,40.7,13.3,39.6,98.6,65.3,89.2,37.5,45,5.9
J & K,Leh,73.2,83.1,63.6,99.8,98.6,92.7,96.9,41,56.4,12.9,97.9,29.9,66.1,66.5,43,23.6
J & K,Pulwama,68.9,79.2,58.8,99.6,99.4,96.1,86.2,65,22.3,77.5,98.4,41.5,89,60,62.8,10
J & K,Punch,74.1,84.4,62.3,99.5,99.9,81.6,22.2,40.9,15.2,22.4,98.8,52,92.8,25.8,30.6,7.1
J & K,Rajauri,78.5,88.6,66.4,99.5,99.6,89.6,13.9,21.3,13.8,28.8,99.5,35,93.7,46.4,43.1,7.7
J & K,Srinagar,71.6,80.7,62.4,99.4,99.8,99.7,98.4,90,77.8,75.3,96.1,14.9,39.3,85.7,78.3,28.3
J & K,Udhampur,72.7,81.5,62.2,99.7,99.7,86.7,13.6,35.5,17.5,25.1,99.8,26.8,81.1,46.6,47.5,8.4
Jharkhand,Bokaro,72.8,85.1,59,99.6,99.7,64.6,36.9,30.3,26,41.8,94.9,17.7,45.6,51.1,44.4,34.4
Jharkhand,Chatra,58.7,68.9,47.8,99.6,99.3,22.3,7.5,0.7,1.4,8.7,99.1,41.2,75,8,14.4,7.6
Jharkhand,Deoghar,62.5,76,47,100,99.8,40.4,12.5,1.4,8.6,17,98.8,20.5,71.4,22.3,21.3,12.6
Jharkhand,Dhanbad,72.7,84.5,58.8,98.7,99.2,82.5,29.1,22.5,8.1,32.4,91.9,21.8,38.3,56.7,37,23
Jharkhand,Dumka,61.5,75.7,45.7,99.7,99,13.6,15.8,2,2.4,5.2,98.9,31.3,73.9,11,8.6,6
Jharkhand,East Singh Bhumi,76.5,85.9,66.3,98.3,99.1,68.2,53.3,32.4,33.9,38.8,92.1,29.7,36,52.8,43.5,36.7
Jharkhand,Garhwa,58.5,70,44.5,99.6,99.5,24.8,5.9,1,3.7,7.7,98.8,31.8,68.5,9.5,8.9,6.1
Jharkhand,Girdih,57.2,71.2,41.6,99.4,98.9,16.1,6.8,1.8,2.3,12.8,98.9,35.2,76.7,11.3,17.6,10.2
Jharkhand,Godda,50.3,61.7,37.3,99.5,99.2,25.4,5,1.9,1,9.2,99.2,30.9,72.9,11.4,9.8,5.3
Jharkhand,Gumla,62.4,73.6,50.7,97.5,99.7,15,11.4,1.8,3.5,3.3,98.1,32.1,79.6,10.1,9.7,7.2
Jharkhand,Hazaribag,69.5,80.5,57.4,99.1,99.7,59.8,25.6,11.9,11,30.2,97.1,26.8,64.2,35.3,36.1,21.9
Jharkhand,Jamtara,57.2,69.5,43.9,98.7,99.3,35.2,5.7,1.1,2.2,7.4,99.2,31.2,79.4,18.9,13.6,9.4
Jharkhand,Kodarma,63.7,78.5,47.2,100,98.5,47.8,15,3.3,6.8,22.7,98.4,33.3,68.5,19.2,21.3,12
Jharkhand,Latehar,63.3,75,51,99.1,100,11,7.6,0.4,1.3,4.5,98.7,44.2,80.6,7.9,10.4,5.2
Jharkhand,Lohardaga,65.6,76.9,54.1,98.9,98.5,24,15.1,1,3.7,8.5,99.1,34.2,76.5,14.7,15.6,12.9
Jharkhand,Pakur,44,53.5,34,99.4,99.1,13.5,7,0.7,2,5.3,98.5,21.6,66.8,8.5,6.1,3.8
Jharkhand,Palamu,62.9,74.9,49.4,99.5,99.6,34.5,8,2,2.7,10.4,98.5,29.6,66.3,13,15.9,8.6
Jharkhand,Ranchi,70.4,81.3,58.4,99.1,99.5,54,28.6,18.3,23.6,23.5,96.7,44,61.2,39,34.4,24.6
Jharkhand,Sahebganj,45.9,55.6,35.2,99.1,98.1,11.1,8.1,4.5,2.8,7.9,98.8,19.9,62.3,9.7,6.4,2.8
Jharkhand,Saraikela,67.4,80.6,54,98.5,99.4,49.6,15.7,11.1,6,11.8,99.1,49.3,71.1,30,21.4,16.3
Jharkhand,Simdega,64.9,73.7,55.9,97.7,99.4,10.6,6.3,0.7,2.5,2.4,98.6,37.8,83.8,6.4,8.1,7.3
Jharkhand,West Singh Bhumi,69.1,80.3,57,98.6,98.1,24.2,17.1,4.9,8.3,9.7,98.7,50.7,72.1,18.4,24,15.7
Karnataka,Bagalkot,64.6,77.8,52.3,97.5,98.5,86,17.4,72.2,10.9,16.3,92.2,55.9,56.8,43.2,31.5,17.8
Karnataka,Bangalore Rural,71.1,78.3,63.5,100,100,94.6,37.8,73.2,18.4,23.6,90.3,69.3,60.8,66.8,40.1,24.7
Karnataka,Bangalore Urban,88.3,93.3,83.3,99.6,99.3,98.6,95.5,87.1,76.1,61,58.2,23.7,11.6,89.1,75.3,48
Karnataka,Belgaum,72.6,82.5,63,97.6,99.8,85.7,28.4,59.6,22.6,21.6,89.5,43.4,60.2,48.6,33.9,25.5
Karnataka,Bellary,64.9,74.7,55.3,92,94.1,91.9,29.9,75.7,17.3,22,88.6,49.9,50.2,52.6,35.7,17.5
Karnataka,Bidar,71.4,81.4,61.7,98.6,96.8,87.4,20.8,70.6,10.4,15.5,93.9,56.2,57.4,41.3,30.1,13.3
Karnataka,Bijapur,66.3,78.4,54.2,97.5,98.8,86.7,8.8,55.5,8.1,13.6,91.8,48.1,68.3,35.9,33,13.2
Karnataka,Chamarajnagar,63.9,70.9,57.1,98.5,99.4,79.7,22.1,75.9,11.1,6.7,92.5,70.7,44.4,37.4,23.2,9
Karnataka,Chikmagalur,79.5,86.4,73.1,99.1,100,85.1,52.7,74.2,20.4,18.4,88.6,57.2,55.4,60,34.6,21.2
Karnataka,Chitradurga,70.7,79.1,62.2,99,99.8,91.8,23.5,74,13.6,15.8,92.6,68.6,66.2,47.5,32.3,13.7
Karnataka,Dakshina Kannada,85.7,90.9,80.5,100,100,88,88.3,46.8,32.2,31.9,89.8,44.3,26.4,59.4,55.3,27.1
Karnataka,Davanagere,70.5,76.7,64.5,98.6,98.7,91.7,36.3,85.5,15.9,19.4,88.3,60.6,49.9,58,36.2,18.3
Karnataka,Dharwad,75.9,83.5,68.4,99.6,98.4,93.6,47.2,79.2,25.9,24.7,87.4,52.6,48.1,61.6,41.9,23
Karnataka,Gadag,70.8,81.5,60.8,95.9,96.7,93.9,21.9,70.8,10.8,9.6,91.2,56.8,62.8,48.9,31.2,14.3
Karnataka,Gulbarga,58.4,69.3,47.9,95.3,95,86.4,13.3,60.5,9.2,13.9,92,64,64.5,38.5,30.3,10.4
Karnataka,Hassan,72.7,79.9,65.7,100,99.4,89.6,31.4,75.1,14.5,12.5,91.9,57.1,66.5,51.8,34.8,16.5
Karnataka,Haveri,76.4,83.9,69.2,97.8,98.8,90.9,35.3,85.4,9.6,9.2,91.9,51.9,59.1,42.2,29.2,11.7
Karnataka,Kodagu,80.5,86.2,75.3,98.4,99.2,73.1,70.1,46.3,23.2,17.9,72.9,53.1,41.4,51.1,37.7,17.9
Karnataka,Kolar,68.6,77.2,60.1,98.9,99.2,94.2,27.8,78.4,14.7,32.8,91.3,66.3,64.7,57,36.3,22
Karnataka,Koppal,63.3,75.6,51,93.4,94.7,88.4,12.4,70.4,7.1,12,91.8,43,68.7,33,28.3,10.7
Karnataka,Mandya,68.3,77.4,59.7,100,99.1,89.8,26.3,87.8,10.6,13.2,91.4,66.1,63.5,49.1,29.2,14.9
Karnataka,Mysore,72.3,79.6,65,99.3,100,90.1,48.2,85.2,26.5,20.5,87.8,66,41.1,55.2,38.7,19.5
Karnataka,Raichur,60,73.1,47.2,88.8,94.8,88.1,17.9,70.7,13.3,12.6,92.7,50.3,75.8,38.3,32.5,15.9
Karnataka,Shimoga,80.3,86.6,74.4,99.5,99,88.7,60.6,66.5,27.5,17.6,89.1,52.2,47.6,59.9,39.4,25.6
Karnataka,Tumkur,73,82,64.2,100,99.6,89.4,25.4,70.1,15.1,22.3,90.4,62.2,63.6,42.9,27.3,16.2
Karnataka,Udupi,84,89.7,78.6,100,100,88.1,76.9,21,28.7,23.6,93.2,54,31.4,62.6,54,23
Karnataka,Uttara Kannada,82.9,87.9,77.8,98.3,99.2,89.2,51.9,30.8,21.3,18.9,94.3,56.6,46.6,50.6,27.1,23.9
Kerala,Alappuzha,94.4,96.6,92.4,100,100,94.4,95.9,32.3,44.9,76.5,95.9,41.7,12.4,75.8,49,28.5
Kerala,Ernakulam,94.8,97.6,92,100,100,95.4,99.5,45.7,47.2,90.8,93.1,25.8,16.6,85.1,65.8,41.6
Kerala,Idukki,91.7,95.5,88.1,100,100,91.4,89.8,30.6,27.9,74.6,79.9,38.9,36.6,73.5,54.9,12.8
Kerala,Kannur,95.2,97.3,93.3,100,100,93.7,98.9,5.1,23.3,86,93.9,24.3,18,74.9,56.3,18.3
Kerala,Kasargod,88,92.9,83.4,100,99.7,88.8,93.9,11.5,24.7,83.3,91,32.5,20.1,62.2,50.9,14.7
Kerala,Kollam,93.1,96,90.4,100,100,93.9,98.1,14.8,37.1,71.3,91.5,37.5,17.3,75.5,50.7,24.9
Kerala,Kottayam,96.1,97.2,95,100,100,95,98.4,19.3,35.8,83.9,94.4,36.7,24.7,80.4,61,27.6
Kerala,Kozhikode,94.7,98,91.8,100,100,91.8,99.4,16.9,22.1,76.1,94.1,28.2,16.2,68.2,58.6,27.1
Kerala,Malappuram,93.7,96.1,91.7,100,100,93.5,99,6.8,20.1,90.6,91.7,29.9,10.1,57.1,55.3,19.9
Kerala,Palakkad,89.9,94.2,86,100,100,89.8,91.8,37.8,29.4,73.4,94.2,24.3,19.9,66.4,53.9,23.5
Kerala,Pathanamthitta,96.6,98.2,95.3,100,100,92.6,98.2,11.8,34.2,91.4,95.7,32.5,30.4,76.7,51.6,25.5
Kerala,Thiruvananthapuram,92.8,95.9,90,100,100,92.6,96.6,29.8,38.5,69.1,90.3,30,11.1,77,49.1,30.3
Kerala,Thrissur,93.8,96.3,91.5,100,100,94.2,98.7,16.3,34.6,70.8,94.2,33.8,12.5,76.7,49.5,29.4
Kerala,Wayanad,86.1,91.1,81.4,98.5,98.9,77.8,95.7,22.5,10,71.2,91,41.6,38.4,50.2,39.6,12
Lakshadweep,Lakshadweep,89.2,94.6,83.9,100,100,99.8,98.8,13.1,22.6,81.4,96.7,37.1,6.4,61.3,68.3,31.8
Madhya Pradesh,Balaghat,72.8,82.1,63.5,99.8,99.4,78.4,13.5,9.3,6.3,6.3,97.1,54.1,58.7,23.6,11.5,11.7
Madhya Pradesh,Barwani,37.7,43.6,32,95.1,95,79.7,13.2,20.8,10.7,9.9,96,57.2,64.1,21.5,13,12.5
Madhya Pradesh,Betul,61.6,70.2,52.8,96.7,100,78.5,19,27.4,10.6,9.6,96.4,33.2,55.6,25.8,17.1,15.3
Madhya Pradesh,Bhind,73,84.7,58.9,99.3,99.7,61.5,23.6,12.9,6.9,32.6,97.4,22.8,71.4,31.4,27.9,19.1
Madhya Pradesh,Bhopal,73,79.4,66.4,97.6,97.1,97,69.1,65.8,50.6,48.4,85,37.9,17.8,74.4,51.1,40.4
Madhya Pradesh,Chhatarpur,61.5,71.7,50.1,97.4,97.5,59.7,13.8,6,5.6,14.8,98.6,33.1,67.3,24.4,18.1,11.9
Madhya Pradesh,Chhindwara,66,75.7,56.2,98.7,98.1,84.5,21,23.3,15.1,10.7,94.2,48.3,55.5,29.2,15.5,14.4
Madhya Pradesh,Damoh,70.9,82.2,58.8,98.2,96,72.6,18.4,12.9,7.9,12.6,94.9,54.8,51.6,27.7,12,12
Madhya Pradesh,Datia,70.1,83.4,54.9,99,99.1,83.1,21.4,18.9,8.1,25.9,98.3,27.7,76,40.5,23.6,21.3
Madhya Pradesh,Dewas,65.4,78.2,52.8,98,98.5,89.6,37.7,23,17.1,18.9,95.6,30.1,54.1,43.5,33.1,27
Madhya Pradesh,Dhar,47.1,57.9,36.6,94,96,85.7,21.3,21.4,13,15.1,96.5,42.4,67.2,29.1,21.3,17.8
Madhya Pradesh,Dindori,61.2,74.1,48.5,96.8,98.5,42.8,5.7,5.5,2.4,3.4,97.5,51.6,65.3,7.4,5.6,4.9
Madhya Pradesh,East Nimar,59.8,68.9,49.8,97.5,98.3,82.3,22.7,30.4,18.1,22.5,96.8,30,48,38,25.8,19.6
Madhya Pradesh,Guna,60.5,74.3,45.2,99,98.8,68.8,15.8,14.6,8.4,14,97,44.7,69.5,32.6,23.7,21.3
Madhya Pradesh,Gwalior,71.9,84.1,57.8,98.6,97.8,87.3,43.3,34,28,49.3,90.5,19.4,42.3,59.4,38.6,32.4
Madhya Pradesh,Harda,68,78.5,56.8,98.3,97.9,87.5,42.9,21.3,19.7,19,94.8,35.8,53.7,44.1,31.9,31.4
Madhya Pradesh,Hosangabad,67.6,77.5,57.1,98.9,98.2,84.4,42,27.4,20.8,20.9,88.6,40.4,42.4,45.1,30.4,31.3
Madhya Pradesh,Indore,74.4,85.5,63.2,97.5,97.9,94.4,67,45.1,49.2,49.4,86.1,29.1,24,66.3,44.6,33.2
Madhya Pradesh,Jabalpur,78.1,86.2,69.7,97.1,99.4,95.1,52,44.1,35.1,34.7,89.6,40.2,30.7,55.4,34.9,25.8
Madhya Pradesh,Jhabua,31.5,40.6,22.5,95.4,97.6,66.3,10.5,6.2,5.2,7,98,44.5,82.4,11.9,10.9,10.1
Madhya Pradesh,Katni,70,82,57.6,97.5,97.8,70.4,19.1,16.5,12,19.9,97,42.1,54.8,24.3,14.1,13.1
Madhya Pradesh,Mandla,66.7,78.4,55.2,99.3,96.4,60.9,14.4,10.4,7.8,7.8,96.4,56.5,55.3,17.2,9.5,8.4
Madhya Pradesh,Mandsaur,59.6,75.2,44.1,98.2,97.5,90.6,17.9,17.7,11.6,23.2,96.3,40.1,68,38.6,28.6,21.3
Madhya Pradesh,Morena,70,84.2,53.4,99.7,99.1,47.9,24.5,18.6,13.6,40.3,97,21.7,68,26.6,25.3,17.6
Madhya Pradesh,Narasimhapur,66.5,76.5,55.8,98.6,98.4,91,37.3,17.5,9.3,10.7,97.6,37.6,47.8,34.6,22.5,20.2
Madhya Pradesh,Neemuch,60.8,74.7,46.7,97.8,98.1,93.1,19.1,36.1,12.3,33.9,95,46.6,61.6,44,31.9,27.1
Madhya Pradesh,Panna,63,73.8,51.3,99,98.1,58,10.6,6.8,4.8,9.2,98.2,55.3,69.7,14.5,11.7,9.7
Madhya Pradesh,Raisen,63.1,73.4,52.1,98.5,98.7,84.4,22.8,13.3,6.7,11.8,95.3,37.4,53.7,32.8,25.1,19.2
Madhya Pradesh,Rajgarh,53.6,67.3,39.3,96.7,98.3,87.2,18.4,13.2,8,14.7,97.9,62.3,74.6,27.4,18.5,13.9
Madhya Pradesh,Ratlam,56.7,68.1,45.2,95.6,98.8,91.7,28.2,24.7,17.7,16.9,93.2,44.8,66,36.5,23,18.4
Madhya Pradesh,Rewa,69.2,80.9,56.7,99.1,98.9,55.9,23.7,1.8,5.3,10.2,98.7,41.8,49.5,19.3,22.6,13.9
Madhya Pradesh,Sagar,75.3,85,64.3,99.5,98.6,80.8,23.8,19.3,12.8,20.7,91.4,52.7,46.7,35.7,23.1,16.5
Madhya Pradesh,Satna,70.3,81.3,58.7,97.5,97.8,75.8,15.2,10.7,9.3,18.5,97.3,54.5,45.6,26,21,15
Madhya Pradesh,Sehore,58.8,71.6,45.4,98.5,98.3,90.7,23.4,10.1,9.1,14.3,96.7,42.6,60.1,41.6,26.3,22.4
Madhya Pradesh,Seoni,66.9,75.8,57.9,99.5,99.1,73.9,14,8.3,3.9,5.1,95.6,50.1,53.5,17.4,8.7,8.8
Madhya Pradesh,Shahdol,61,72.2,49.2,99,99.2,58.5,16.2,11.2,10.2,13.5,97.2,53.5,55.1,24,16.4,12.7
Madhya Pradesh,Shajapur,58.9,73.6,43.8,99.1,98.5,90.2,23.4,16.2,10.9,21,97.1,40.7,64.3,37,29.6,19.4
Madhya Pradesh,Sheopur,52.8,67.2,37.7,99.2,98.6,54.9,9.2,13.5,5.1,17.2,98,36.6,57.3,17.3,13.3,13.5
Madhya Pradesh,Shivpuri,56.5,70.8,40.5,96,98,58.3,13.8,5.8,8.7,21.4,97.5,35.2,66.2,21.5,17.8,14.8
Madhya Pradesh,Sidhi,59.2,70.1,47.3,97.5,97.6,47.6,3.1,0.8,3.1,5.1,98.6,48.7,51.8,10.9,14.5,9
Madhya Pradesh,Tikamgarh,62.4,73.6,50.1,98.4,97.2,66.3,13.5,5.5,5.7,20.8,98.6,36.3,73.7,25,16.9,12.9
Madhya Pradesh,Ujjain,63.9,77.7,49.8,98.3,99.6,94.1,42.3,31.3,28.6,30.2,92.1,35.2,52.8,53.6,45.4,36.2
Madhya Pradesh,Umaria,62.9,74.4,50.5,98.4,98.1,62.6,8.4,6.6,6,7.1,97.9,53.3,53.1,13.4,11.5,8.5
Madhya Pradesh,Vidisha,66.2,76.1,54.9,97.5,98.6,82.8,22.8,18.4,12.9,17.7,96.4,38.8,54.8,40.5,27.6,24.4
Madhya Pradesh,West Nimar,57.3,68.5,45.5,98.2,98.3,91.1,18.5,37.7,12,16.4,97,38.1,51.9,38,26,18
Maharashtra,Ahmadnagar,77,86.8,66.9,100,99.6,80.1,51,61.7,36.5,39.3,90.2,25.6,52.4,62.9,47.9,35
Maharashtra,Akola,81.8,88.8,74.8,38.3,99,76.9,39.9,66.5,31.7,29.2,89.1,28,41.5,55.8,38.2,21.1
Maharashtra,Amravati,76.7,83.2,70,99.2,99.5,74,41.4,66.7,22.3,21.7,93.5,43.4,45.2,46.4,26.3,17
Maharashtra,Aurangabad,73,83.8,61.4,98,99.2,82.1,37.1,49.2,24.9,20.2,89.6,30.8,50.8,56.3,47.3,25.7
Maharashtra,Bhandara,80.9,89,72.5,100,99.5,77.7,59.7,34.7,18.6,28.1,91.5,43.1,55.7,46.8,21.8,19
Maharashtra,Bid,67.1,80.2,54,98.2,99.4,67.2,15,34.4,10,14.7,95,32.8,65.3,40.6,37.8,16.4
Maharashtra,Buldana,74.5,85.8,62.7,99.3,99.6,76.7,21.9,54.6,13.9,16,96.3,41.4,59.8,49,32.5,16.2
Maharashtra,Chandrapur,79.2,87,71.3,100,100,73.9,43.2,44.7,28.5,25.1,90.7,33,50.4,45.2,30.8,18.7
Maharashtra,Dhule,66.9,76.9,56.5,98.7,98.1,74,25.7,80.9,28.3,23.7,87.7,39.9,43.8,49.2,34.8,18.7
Maharashtra,Gadchiroli,59.4,70.6,47.8,95.7,97.9,35.3,12,13.6,4.3,11.9,96.2,52.8,63.3,16.6,9.1,8.1
Maharashtra,Gondiya,79.8,89.1,71,99.7,99.7,66.1,48,15.3,8.8,20.9,94.3,46.1,56.6,29.7,15.6,13.6
Maharashtra,Hingoli,66.8,79.3,54.7,97.8,98.9,70.8,24.7,29,6.2,13.8,95.8,28.3,67,34.7,32.4,10.5
Maharashtra,Jalgaon,75.1,84.7,65.1,97.5,97.7,83.5,40.7,82,38.4,32.9,86.1,28,42.6,59.2,34.5,21.5
Maharashtra,Jalna,68.7,81.8,55.7,98.6,99,71.2,42.5,26.2,15.7,19.4,94.4,31.1,63.2,44.5,37.8,17.8
Maharashtra,Kolhapur,81.1,90.4,72.3,100,100,94.6,76.9,73.8,40.6,34.1,25.5,51.4,38.4,92.7,66.1,28.5
Maharashtra,Latur,74.7,83.2,66.1,99,98.4,80.9,33.1,49.6,16,32.7,94.4,27.9,51.2,44.4,38.3,17.3
Maharashtra,Mumbai,86.4,90.8,81.4,99.6,99.3,98.8,38.7,99.4,76.8,64.4,82.2,6.8,8.7,85.2,79.3,17.5
Maharashtra,Mumbai Sub-urban,89,94.1,83.3,98.9,99.7,99.5,59.3,98.8,82.2,58.3,83.7,7.7,13.1,85.6,81.1,22.2
Maharashtra,Nagpur,86.3,91.5,80.9,100,100,93.5,73.5,74,55.2,50.4,88.9,23.7,26.9,75.5,51.4,39.8
Maharashtra,Nanded,70.5,79.9,61.1,98.8,98.4,73,31.1,41,15.1,16.7,93.2,29.2,54.7,39,37.9,11.5
Maharashtra,Nandurbar,51.8,61.8,41.6,97.2,96.4,63,15.9,46.4,14.9,7.3,95.4,54.5,52.6,29.7,17.3,10.4
Maharashtra,Nashik,74.5,83.8,64.7,98.4,99.5,73.4,51.9,63.8,44.3,32,88.6,32.5,46.5,56.9,47.4,30.9
Maharashtra,Osmanabad,71.4,80.7,62,99.1,98.8,67.1,22.8,46.4,12,30.3,94.7,34.8,60.8,38.1,33.4,16.7
Maharashtra,Parbhani,68,79.5,56.2,96.7,96.1,75.7,23.4,46.2,15,22.1,94.5,22.4,52.3,42.8,37.6,12.6
Maharashtra,Pune,83.6,92,75,99.1,99.5,91.6,80.5,74,65.9,47.4,86.9,10.7,40.7,77.3,70.4,49.3
Maharashtra,Raigarh,78.8,87.3,70.3,99.2,100,90.9,42.7,52.3,37.4,39.1,95.5,25.9,47.9,55.3,40.7,24.6
Maharashtra,Ratnagiri,78.1,87.7,69.4,100,100,91,63.6,38.8,18.5,33.9,93.8,26.7,50.3,41.4,26,13.3
Maharashtra,Sangli,80.9,90.3,71.7,99.3,100,86.6,62.5,73.9,37.1,33,89.5,19.4,58.7,57.1,40.4,28.6
Maharashtra,Satara,80.4,89.3,72.1,100,100,87.3,59.1,69.3,29.4,27.1,95,25.7,67.7,59,41,28.2
Maharashtra,Sindhudurg,84.7,92.4,77.5,100,100,94.4,71,22.3,16.2,30.8,94.7,28.4,48.1,51,35.2,15.2
Maharashtra,Solapur,73.9,83.3,64.3,98.9,98.8,75.2,35.2,69.2,29.2,40.6,88.9,29.9,46.3,50.5,44.6,26
Maharashtra,Thane,78.9,86.8,69.9,97.7,98.7,89.4,64.5,75.9,59.7,49.1,85.5,21.4,30.5,70.1,64.8,24.3
Maharashtra,Wardha,84.3,90.7,77.5,100,100,83.6,53.3,56.8,32.3,30.7,93.6,29.4,43.5,61.2,33.6,21.5
Maharashtra,Washim,75.2,85.1,65,98.7,99.3,77.4,26.7,31.3,12.3,12.8,94.6,38.6,54.2,48.6,32.6,17.5
Maharashtra,Yavatmal,73.1,83.2,62.6,97.7,98.1,70,30.7,40.2,16.9,15.4,95.1,37.3,46.6,40.4,26.4,13.9
Manipur,Bishnupur,82,91.4,72.8,98.5,99.6,94.4,97.7,46.3,22.8,3.3,98.8,22.2,36.1,52.8,53,16.4
Manipur,Chandel,78.9,86,71.8,99.8,99.8,84.3,96.8,4.6,5.9,1.6,98.6,1.5,43.5,35.7,33.4,12.5
Manipur,Churachandpur,83.9,88.7,78.9,99.3,99.3,53,95.3,5.9,6.2,1.1,98.8,11.4,36.8,24,23,9.5
Manipur,Imphal East,84.6,91.8,77.4,98.9,97.5,88.1,95.5,18.3,31,8.2,98.7,14.4,38.1,57.5,55.1,29.6
Manipur,Imphal West,86,94,78.2,100,99.7,95.8,99.5,47.8,47.3,11.2,98.9,21.2,34.7,71.7,68.3,39.9
Manipur,Senapati,83.2,89.2,76.9,99.7,99.2,81.3,95,12.8,6.5,1.6,99,5.5,51.3,36.5,39.8,9.2
Manipur,Tamenglong,77.5,82.6,71.8,99.7,99.3,81.2,91.4,2.1,1.8,0.3,97.3,14.3,61.2,17.9,8.5,2.2
Manipur,Thoubal,82.1,93,71.2,99.5,98,87.6,98.9,18.5,26.4,5.9,99.2,11.2,42.4,51.2,50.7,20.7
Manipur,Ukhrul,85.8,90.3,80.5,99.9,100,73.5,86,5.9,1.7,0.5,99,4.1,75.6,15.5,13.9,2.4
Meghalaya,E. Garo Hills,80.7,83.3,77.8,97.8,97.8,54.3,91.6,12.9,3.9,2.8,96.4,10,37.4,31.3,13.8,8.6
Meghalaya,E. Khasi Hills,86.1,87.6,84.6,99.5,99,82.9,65.3,72.2,29.5,25.6,78.4,13.3,28.5,50.1,43,12.3
Meghalaya,Jaintia,68.9,69,68.8,97.6,97.3,69.9,39,29.5,12.5,12,92.8,3.4,34.2,29.5,29.3,8
Meghalaya,Ribhoi,75.6,77.5,73.7,99.8,99.7,64.4,67.9,43.3,5.1,7.2,93.1,5,49.4,27.6,21.8,4.5
Meghalaya,S. Garo Hills,79.3,83.9,74,97.6,98.9,60.1,83.6,20.5,3.1,1.9,98.9,4.1,25.8,33.9,10.4,9
Meghalaya,W. Garo Hills,73.5,78.8,67.8,99.1,97.8,54.5,73.5,17.2,3.9,2.7,97.8,24.4,36.4,31,13.8,7.2
Meghalaya,W. Khasi Hills,79.3,79.7,78.9,97.9,98.6,57.8,39.6,24.2,3.2,4.7,97.1,4.5,61,17.6,17.1,2.8
Mizoram,Aizawl,97.5,98.2,96.7,99.7,99.4,97.4,99.9,63,78.8,30.5,71.1,14.7,27.8,71.1,74,26.7
Mizoram,Champhai,95,97.6,92.3,99.6,99.2,99.6,99.9,67.7,33.6,4.5,84.4,46.2,56.7,39.3,37.4,9.8
Mizoram,Kolasib,92.8,94.5,91.2,98.5,98.5,90.4,97.1,72.6,47.7,11.1,80.2,25.6,50,41,41.4,11.5
Mizoram,Lawngtlai      ,86.4,87.7,84.7,99.5,99,89.1,96.1,42.3,6.3,0.9,97.5,54.5,71.7,16.7,9.6,1.7
Mizoram,Lunglei,92.2,93.6,90.9,99.8,99.6,92.3,97.6,70.1,41.5,7,87.8,40.2,57.6,44.3,39.4,13.8
Mizoram,Mamit,85.4,88.7,81.8,99,99.3,79.8,95.7,35.3,19.2,2.9,90.5,33.5,66.1,31.9,29.6,10.7
